,Unnamed: 0,Cantidad de características,Caracteristicas modelo,Puntaje (Sales_rmspe),Num_Corrida
65,8,42,"['Close_bool_bw', 'Assortment', 'CompetitionOpenSinceYear', 'DayOfWeek', 'StateHoliday_bool_fw', 'State', 'SchoolHoliday', 'Year', 'Week', 'Promo_bw', 'Promo_fw', 'SchoolHoliday_bw', 'StoreType', 'Promo2Weeks', 'Events', 'Day', 'Month', 'Close_bool_fw', 'CompetitionMonthsOpen', 'StateHoliday', 'Promo', 'Promo2', 'PromoInterval', 'Promo2SinceWeek', 'StateHoliday_bool_bw', 'Store', 'Promo2SinceYear', 'AfterSchoolHoliday', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'AfterPromo', 'Max_TemperatureC', 'Mean_Humidity', 'BeforeStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'trend', 'CompetitionDistance', 'AfterClose_bool', 'trend_DE', 'Precipitationmm', 'CloudCover', 'Min_TemperatureC']",0.1321597844362259,4
94,1,40,"['CompetitionOpenSinceYear', 'Day', 'StateHoliday_bool_bw', 'Promo2', 'StateHoliday_bool_fw', 'PromoInterval', 'Month', 'Promo2SinceYear', 'Close_bool_bw', 'Week', 'Promo2SinceWeek', 'Events', 'StateHoliday', 'State', 'Year', 'CompetitionMonthsOpen', 'Promo2Weeks', 'Promo_bw', 'Promo_fw', 'SchoolHoliday_fw', 'DayOfWeek', 'Store', 'SchoolHoliday_bw', 'Min_TemperatureC', 'CloudCover', 'AfterPromo', 'Mean_TemperatureC', 'Max_Wind_SpeedKm_h', 'BeforeSchoolHoliday', 'StateHoliday_bool', 'AfterSchoolHoliday', 'Min_Humidity', 'AfterClose_bool', 'trend_DE', 'BeforeStateHoliday_bool', 'Max_Humidity', 'CompetitionDistance', 'Max_TemperatureC', 'BeforePromo', 'trend']",0.13382351398468018,8
133,4,32,"['CompetitionMonthsOpen', 'CompetitionOpenSinceYear', 'Assortment', 'DayOfWeek', 'Year', 'SchoolHoliday', 'Week', 'StateHoliday_bool_bw', 'Promo', 'Month', 'Promo2SinceWeek', 'SchoolHoliday_bw', 'Store', 'StateHoliday', 'Promo2', 'Events', 'Day', 'StateHoliday_bool_fw', 'State', 'Promo2Weeks', 'Mean_TemperatureC', 'BeforeSchoolHoliday', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'Precipitationmm', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'trend_DE', 'Min_Humidity', 'CloudCover', 'CompetitionDistance', 'Mean_Wind_SpeedKm_h']",0.13445591926574707,12
128,8,43,"['StateHoliday_bool_bw', 'Store', 'Close_bool_bw', 'Promo2SinceYear', 'Promo_fw', 'StoreType', 'CompetitionOpenSinceYear', 'Day', 'SchoolHoliday_fw', 'PromoInterval', 'SchoolHoliday_bw', 'SchoolHoliday', 'Week', 'Promo_bw', 'Events', 'Promo2Weeks', 'Month', 'StateHoliday_bool_fw', 'Promo2', 'Year', 'DayOfWeek', 'Promo', 'CompetitionMonthsOpen', 'StateHoliday', 'State', 'CompetitionDistance', 'AfterStateHoliday_bool', 'BeforePromo', 'Precipitationmm', 'Mean_TemperatureC', 'Max_TemperatureC', 'AfterClose_bool', 'BeforeSchoolHoliday', 'Mean_Humidity', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'Min_TemperatureC', 'StateHoliday_bool', 'Max_Humidity', 'BeforeStateHoliday_bool', 'trend', 'trend_DE']",0.13507823646068573,11
55,7,42,"['Assortment', 'State', 'Promo_fw', 'CompetitionOpenSinceYear', 'Promo2SinceYear', 'Store', 'StateHoliday_bool_bw', 'SchoolHoliday', 'StateHoliday', 'CompetitionMonthsOpen', 'Promo_bw', 'Events', 'StoreType', 'DayOfWeek', 'Close_bool_fw', 'Week', 'StateHoliday_bool_fw', 'Promo2', 'Promo2Weeks', 'Day', 'PromoInterval', 'Close_bool_bw', 'Month', 'Year', 'trend_DE', 'Min_TemperatureC', 'CompetitionDistance', 'Precipitationmm', 'BeforeStateHoliday_bool', 'StateHoliday_bool', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'Min_Humidity', 'BeforePromo', 'CloudCover', 'Mean_Humidity', 'BeforeSchoolHoliday', 'Mean_Wind_SpeedKm_h', 'BeforeClose_bool', 'Max_Humidity', 'AfterSchoolHoliday']",0.1359710544347763,3
134,5,34,"['CompetitionMonthsOpen', 'CompetitionOpenSinceYear', 'Assortment', 'DayOfWeek', 'Year', 'SchoolHoliday', 'Week', 'StateHoliday_bool_bw', 'Promo', 'Month', 'Promo2SinceWeek', 'SchoolHoliday_bw', 'Store', 'StateHoliday', 'Promo2', 'Events', 'Day', 'StateHoliday_bool_fw', 'State', 'Promo2Weeks', 'Max_Humidity', 'AfterPromo', 'BeforeSchoolHoliday', 'CompetitionDistance', 'StateHoliday_bool', 'Mean_Wind_SpeedKm_h', 'trend', 'Mean_Humidity', 'Max_TemperatureC', 'Precipitationmm', 'AfterClose_bool', 'BeforePromo', 'trend_DE', 'Max_Wind_SpeedKm_h']",0.13627439737319946,12
77,2,39,"['Week', 'Promo_bw', 'Events', 'Close_bool_fw', 'Month', 'CompetitionOpenSinceYear', 'Promo', 'SchoolHoliday_fw', 'Close_bool_bw', 'StateHoliday', 'Promo2Weeks', 'Store', 'SchoolHoliday_bw', 'Promo_fw', 'StateHoliday_bool_bw', 'CompetitionMonthsOpen', 'Day', 'StoreType', 'Year', 'StateHoliday_bool_fw', 'PromoInterval', 'Assortment', 'Promo2SinceYear', 'Min_Humidity', 'StateHoliday_bool', 'Mean_Wind_SpeedKm_h', 'Max_TemperatureC', 'AfterStateHoliday_bool', 'trend_DE', 'CompetitionDistance', 'BeforePromo', 'AfterPromo', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'Max_Humidity', 'AfterClose_bool', 'CloudCover', 'trend']",0.13637101650238034,6
47,8,45,"['Year', 'PromoInterval', 'Promo', 'Week', 'StateHoliday', 'Promo_fw', 'StateHoliday_bool_bw', 'Promo_bw', 'Close_bool_bw', 'Month', 'Promo2SinceYear', 'DayOfWeek', 'Close_bool_fw', 'Assortment', 'SchoolHoliday', 'SchoolHoliday_bw', 'State', 'Promo2SinceWeek', 'Day', 'Events', 'Promo2Weeks', 'CompetitionOpenSinceYear', 'StoreType', 'StateHoliday_bool_fw', 'Store', 'Promo2', 'AfterSchoolHoliday', 'BeforePromo', 'Mean_Wind_SpeedKm_h', 'BeforeSchoolHoliday', 'BeforeStateHoliday_bool', 'trend_DE', 'Mean_Humidity', 'Max_Humidity', 'Max_TemperatureC', 'Precipitationmm', 'trend', 'AfterPromo', 'Mean_TemperatureC', 'Min_Humidity', 'Min_TemperatureC', 'Max_Wind_SpeedKm_h', 'BeforeClose_bool', 'CompetitionDistance', 'AfterStateHoliday_bool']",0.1373460441827774,2
35,5,37,"['Promo2Weeks', 'StateHoliday_bool_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Day', 'Promo_fw', 'Store', 'Events', 'SchoolHoliday_fw', 'Year', 'DayOfWeek', 'SchoolHoliday', 'Promo2SinceWeek', 'Promo2', 'PromoInterval', 'StateHoliday', 'Week', 'StoreType', 'Close_bool_bw', 'Month', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo_bw', 'Precipitationmm', 'Max_Wind_SpeedKm_h', 'Max_Humidity', 'AfterPromo', 'Min_TemperatureC', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'CompetitionDistance', 'trend', 'Min_Humidity', 'AfterSchoolHoliday', 'trend_DE', 'BeforeStateHoliday_bool']",0.1375363916158676,1
34,4,39,"['Promo2Weeks', 'StateHoliday_bool_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Day', 'Promo_fw', 'Store', 'Events', 'SchoolHoliday_fw', 'Year', 'DayOfWeek', 'SchoolHoliday', 'Promo2SinceWeek', 'Promo2', 'PromoInterval', 'StateHoliday', 'Week', 'StoreType', 'Close_bool_bw', 'Month', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo_bw', 'Mean_Wind_SpeedKm_h', 'AfterStateHoliday_bool', 'CloudCover', 'Mean_Humidity', 'trend', 'Min_Humidity', 'StateHoliday_bool', 'Max_TemperatureC', 'Min_TemperatureC', 'BeforeStateHoliday_bool', 'AfterPromo', 'trend_DE', 'AfterClose_bool', 'AfterSchoolHoliday', 'BeforeClose_bool', 'BeforePromo']",0.13772861659526825,1
