,Cantidad de características,Caracteristicas modelo,Puntaje (Sales_rmspe)
0,32,"['Store', 'CompetitionOpenSinceYear', 'StateHoliday', 'Promo_fw', 'Events', 'Promo2SinceYear', 'Promo2SinceWeek', 'StoreType', 'SchoolHoliday_fw', 'State', 'Day', 'Close_bool_fw', 'StateHoliday_bool_fw', 'Close_bool_bw', 'BeforeSchoolHoliday', 'Max_TemperatureC', 'trend_DE', 'AfterPromo', 'Mean_Wind_SpeedKm_h', 'CompetitionDistance', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'Min_TemperatureC', 'Max_Wind_SpeedKm_h', 'BeforeClose_bool', 'Mean_TemperatureC', 'CloudCover', 'StateHoliday_bool', 'BeforePromo', 'AfterStateHoliday_bool', 'trend', 'Max_Humidity']",0.16462399065494537
1,28,"['Store', 'CompetitionOpenSinceYear', 'StateHoliday', 'Promo_fw', 'Events', 'Promo2SinceYear', 'Promo2SinceWeek', 'StoreType', 'SchoolHoliday_fw', 'State', 'Day', 'Close_bool_fw', 'StateHoliday_bool_fw', 'Close_bool_bw', 'AfterClose_bool', 'BeforeSchoolHoliday', 'AfterStateHoliday_bool', 'StateHoliday_bool', 'Min_Humidity', 'CompetitionDistance', 'CloudCover', 'trend', 'AfterSchoolHoliday', 'Mean_Wind_SpeedKm_h', 'Max_Wind_SpeedKm_h', 'Mean_Humidity', 'Precipitationmm', 'Mean_TemperatureC']",0.22581446170806885
2,32,"['Store', 'CompetitionOpenSinceYear', 'StateHoliday', 'Promo_fw', 'Events', 'Promo2SinceYear', 'Promo2SinceWeek', 'StoreType', 'SchoolHoliday_fw', 'State', 'Day', 'Close_bool_fw', 'StateHoliday_bool_fw', 'Close_bool_bw', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'Mean_TemperatureC', 'Min_Humidity', 'CloudCover', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'AfterClose_bool', 'BeforePromo', 'Min_TemperatureC', 'Max_Humidity', 'BeforeSchoolHoliday', 'CompetitionDistance', 'StateHoliday_bool', 'trend_DE', 'BeforeClose_bool', 'Precipitationmm', 'Mean_Wind_SpeedKm_h']",0.1600128561258316
3,32,"['Store', 'CompetitionOpenSinceYear', 'StateHoliday', 'Promo_fw', 'Events', 'Promo2SinceYear', 'Promo2SinceWeek', 'StoreType', 'SchoolHoliday_fw', 'State', 'Day', 'Close_bool_fw', 'StateHoliday_bool_fw', 'Close_bool_bw', 'Mean_TemperatureC', 'Precipitationmm', 'AfterPromo', 'trend_DE', 'Mean_Humidity', 'StateHoliday_bool', 'Min_Humidity', 'BeforeStateHoliday_bool', 'AfterClose_bool', 'Mean_Wind_SpeedKm_h', 'Max_Humidity', 'BeforePromo', 'Max_Wind_SpeedKm_h', 'CompetitionDistance', 'Min_TemperatureC', 'AfterSchoolHoliday', 'BeforeSchoolHoliday', 'Max_TemperatureC']",0.1602645218372345
4,35,"['Store', 'CompetitionOpenSinceYear', 'StateHoliday', 'Promo_fw', 'Events', 'Promo2SinceYear', 'Promo2SinceWeek', 'StoreType', 'SchoolHoliday_fw', 'State', 'Day', 'Close_bool_fw', 'StateHoliday_bool_fw', 'Close_bool_bw', 'CloudCover', 'Max_Humidity', 'Precipitationmm', 'Max_TemperatureC', 'Min_TemperatureC', 'trend', 'Mean_Humidity', 'AfterPromo', 'trend_DE', 'BeforePromo', 'Min_Humidity', 'CompetitionDistance', 'AfterSchoolHoliday', 'Mean_Wind_SpeedKm_h', 'BeforeStateHoliday_bool', 'Mean_TemperatureC', 'Max_Wind_SpeedKm_h', 'BeforeSchoolHoliday', 'StateHoliday_bool', 'AfterStateHoliday_bool', 'BeforeClose_bool']",0.14945904910564423
5,35,"['Store', 'CompetitionOpenSinceYear', 'StateHoliday', 'Promo_fw', 'Events', 'Promo2SinceYear', 'Promo2SinceWeek', 'StoreType', 'SchoolHoliday_fw', 'State', 'Day', 'Close_bool_fw', 'StateHoliday_bool_fw', 'Close_bool_bw', 'AfterPromo', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'AfterStateHoliday_bool', 'AfterSchoolHoliday', 'Min_Humidity', 'Min_TemperatureC', 'Max_Humidity', 'trend_DE', 'Max_Wind_SpeedKm_h', 'Max_TemperatureC', 'BeforePromo', 'AfterClose_bool', 'Mean_Wind_SpeedKm_h', 'Mean_TemperatureC', 'CompetitionDistance', 'CloudCover', 'StateHoliday_bool', 'Mean_Humidity', 'BeforeSchoolHoliday', 'trend']",0.1489952802658081
6,26,"['Store', 'CompetitionOpenSinceYear', 'StateHoliday', 'Promo_fw', 'Events', 'Promo2SinceYear', 'Promo2SinceWeek', 'StoreType', 'SchoolHoliday_fw', 'State', 'Day', 'Close_bool_fw', 'StateHoliday_bool_fw', 'Close_bool_bw', 'Min_TemperatureC', 'Mean_Wind_SpeedKm_h', 'AfterStateHoliday_bool', 'Mean_Humidity', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'Mean_TemperatureC', 'StateHoliday_bool', 'AfterSchoolHoliday', 'CloudCover', 'BeforeSchoolHoliday', 'Max_Humidity']",0.16267456114292145
7,24,"['Store', 'CompetitionOpenSinceYear', 'StateHoliday', 'Promo_fw', 'Events', 'Promo2SinceYear', 'Promo2SinceWeek', 'StoreType', 'SchoolHoliday_fw', 'State', 'Day', 'Close_bool_fw', 'StateHoliday_bool_fw', 'Close_bool_bw', 'trend_DE', 'Max_Wind_SpeedKm_h', 'BeforePromo', 'Max_Humidity', 'Min_TemperatureC', 'trend', 'Precipitationmm', 'Min_Humidity', 'BeforeSchoolHoliday', 'StateHoliday_bool']",0.14778099954128265
8,24,"['Store', 'CompetitionOpenSinceYear', 'StateHoliday', 'Promo_fw', 'Events', 'Promo2SinceYear', 'Promo2SinceWeek', 'StoreType', 'SchoolHoliday_fw', 'State', 'Day', 'Close_bool_fw', 'StateHoliday_bool_fw', 'Close_bool_bw', 'Precipitationmm', 'Min_Humidity', 'Max_Wind_SpeedKm_h', 'CloudCover', 'CompetitionDistance', 'BeforePromo', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'AfterPromo', 'Min_TemperatureC']",0.15429840981960297
9,32,"['Store', 'CompetitionOpenSinceYear', 'StateHoliday', 'Promo_fw', 'Events', 'Promo2SinceYear', 'Promo2SinceWeek', 'StoreType', 'SchoolHoliday_fw', 'State', 'Day', 'Close_bool_fw', 'StateHoliday_bool_fw', 'Close_bool_bw', 'Precipitationmm', 'AfterPromo', 'AfterStateHoliday_bool', 'Min_TemperatureC', 'Max_Humidity', 'trend_DE', 'BeforePromo', 'Mean_Humidity', 'Min_Humidity', 'CloudCover', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'trend', 'StateHoliday_bool', 'Max_TemperatureC']",0.150360107421875
